event_id,event_name,event_timestamp,sample_time_sec,received_order,block_id,block_order,group_id,session_half,counterbalance_group,condition,condition_type,event_type,event_value,duration_sec,exclude_before_sec,exclude_after_sec,trial_id,question_id,correct_answer,participant_answer,is_correct,reaction_time_ms,notes,run_id,subject_id,session_id,client_event_id,client_id,received_timestamp,client_timestamp,client_monotonic_ms,source_client,timestamp_source,clock_offset_sec,clock_round_trip_ms,eeg_received_order,eeg_sample_number,eeg_stream_segment,alignment_error_ms,alignment_status,identity_status,context_matches_current,state_applied,start_number,generated_timestamp,displayed_timestamp,hidden_timestamp,after_block_id,affected_block_id,planned_duration,actual_duration,is_formal_experiment,operator_id,override_reason,sensitivity_exclude_before_sec,course_attention_rating,mental_effort,video_interest,video_difficulty,subtraction_compliance,subtraction_compliance_low_pct,subtraction_compliance_high_pct,subtraction_difficulty,reported_final_number,rating_item,rating_value,quiz_score,quiz_total,question_text,response_index,response_text,video_id,condition_label,video_time_sec,browser_timestamp,recorder_timestamp,device_sample_number,probe_id,probe_index,probe_schedule_id,probe_planned_time_sec,response,response_label,response_time_ms,confidence,probe_attention,pause_reason
fd3dbf72-f5b6-4bef-bd7e-cc97a929ddfe,device_reconnected,1789637367.3385992,,0,,,,,G05,,,device_reconnected,74:4D:BD:62:FD:8D,,0.0,0.0,,,,,,,,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,,,1789637367.3385992,,,recorder,server,,,,,,,no_eeg,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789637367.3385992,,,,,,,,,,,
da5c0b3b-e213-4f1f-9d7d-827e2a1ea6dc,eeg_recovery,1789637388.5183547,0.0,0,,,,,G05,,,eeg_recovery,signal_recovered,106.71358561515808,0.0,0.0,,,,,,,等待实验员重新确认同步后恢复视频,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,,,1789637388.5183547,,,recorder,server,,,0,0,0,-0.03409385681152344,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789637388.5183547,0,,,,,,,,,,eeg_dropout
d5837a7a-8457-4f6e-8e75-7d0ace1ec810,qc_status_change,1789637388.522726,0.056,15,,,,,G05,,,qc_status_change,waiting,,0.0,0.0,,,,,,,等待至少2秒EEG数据。,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,,,1789637388.522726,,,recorder,server,,,14,14,0,-1.7211437225341797,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789637388.522726,14,,,,,,,,,,
3281be94-6daf-40d0-b3b3-073c14f9d499,qc_status_change,1789637390.5258214,2.072,519,,,,,G05,,,qc_status_change,good,,0.0,0.0,,,,,,,当前QC指标正常。,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,,,1789637390.5258214,,,recorder,server,,,518,518,0,-28.187274932861328,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789637390.5258214,518,,,,,,,,,,
381a8d28-a54b-4b39-8f9c-91e62e3ea30e,subtraction_practice_end,1789637443.7551596,55.332,13834,,,,,G05,,,subtraction_practice_end,100,,0.0,0.0,,,,,,,"{""client_event_id"":""381a8d28-a54b-4b39-8f9c-91e62e3ea30e"",""recorder_run_id"":""2c45acad-6db6-41d5-89db-d3b3e344aa65"",""client_id"":""68e07060-2057-490d-865c-e3c07c73e2ab"",""client_timestamp"":1789637443.7535,""client_monotonic_ms"":259270,""event_timestamp"":1789637443.7551596,""clock_offset_sec"":0.0016596317291259766,""clock_round_trip_ms"":7.000207901000977,""subject_id"":""sub-005"",""session_id"":""ses-001"",""block_id"":"""",""counterbalance_group"":""G05"",""block_order"":""Block 1"",""condition"":"""",""condition_type"":"""",""topic_key"":"""",""topic_name"":"""",""event_type"":""subtraction_practice_end"",""iso_time"":""2026-09-17T09:30:43.753Z"",""relative_ms"":"""",""video_time_sec"":0,""practice_number"":100,""is_formal_experiment"":0}",2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,381a8d28-a54b-4b39-8f9c-91e62e3ea30e,68e07060-2057-490d-865c-e3c07c73e2ab,1789637443.7625685,1789637443.7535,259270,68e07060-2057-490d-865c-e3c07c73e2ab,browser_calibrated,0.0016596317291259766,7.000207901000977,13833,13833,0,-8.155107498168945,host_receive_nearest,verified,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,1789637443.7535,1789637443.762686,13833,,,,,,,,,,
5a3bedef-6fad-4ef2-9d84-9b71850d03fb,practice_confirmed,1789637443.7571597,55.332,13849,,,,,G05,,,practice_confirmed,100,,0.0,0.0,,,,,,,"{""client_event_id"":""5a3bedef-6fad-4ef2-9d84-9b71850d03fb"",""recorder_run_id"":""2c45acad-6db6-41d5-89db-d3b3e344aa65"",""client_id"":""68e07060-2057-490d-865c-e3c07c73e2ab"",""client_timestamp"":1789637443.7555,""client_monotonic_ms"":259272,""event_timestamp"":1789637443.7571597,""clock_offset_sec"":0.0016596317291259766,""clock_round_trip_ms"":7.000207901000977,""subject_id"":""sub-005"",""session_id"":""ses-001"",""block_id"":"""",""counterbalance_group"":""G05"",""block_order"":""Block 1"",""condition"":"""",""condition_type"":"""",""topic_key"":"""",""topic_name"":"""",""event_type"":""practice_confirmed"",""iso_time"":""2026-09-17T09:30:43.755Z"",""relative_ms"":"""",""video_time_sec"":0,""practice_number"":100,""is_formal_experiment"":0}",2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,5a3bedef-6fad-4ef2-9d84-9b71850d03fb,68e07060-2057-490d-865c-e3c07c73e2ab,1789637443.8130796,1789637443.7555,259272,68e07060-2057-490d-865c-e3c07c73e2ab,browser_calibrated,0.0016596317291259766,7.000207901000977,13833,13833,0,-10.155200958251953,host_receive_nearest,verified,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,1789637443.7555,1789637443.813191,13833,,,,,,,,,,
669030d7-d5b1-434c-978a-7951a3c75f16,baseline_start,1789637458.2112136,69.772,17444,,,,,G05,,,baseline_start,,30.0,0.0,0.0,,,,,,,,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,,,1789637458.2112136,,,recorder,server,,,17443,17443,0,-32.26780891418457,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789637458.2112136,17443,,,,,,,,,,
6c662556-cece-472b-8bf7-86d963bb1989,qc_status_change,1789637458.8696764,70.452,17614,,,,,G05,,,qc_status_change,waiting,,0.0,0.0,,,,,,,等待至少2秒EEG数据。,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,,,1789637458.8696764,,,recorder,server,,,17613,17613,0,-1.3298988342285156,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789637458.8696764,17613,,,,,,,,,,
85c4d8e5-0a5e-46a9-b74d-f28f04981419,qc_status_change,1789637460.8743627,72.432,18109,,,,,G05,,,qc_status_change,good,,0.0,0.0,,,,,,,当前QC指标正常。,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,,,1789637460.8743627,,,recorder,server,,,18108,18108,0,-27.289390563964844,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789637460.8743627,18108,,,,,,,,,,
66a569b0-81d6-4311-b18a-184437e26242,baseline_end,1789637489.0214782,100.572,25144,,,,,G05,,,baseline_end,data_present,30.779849767684937,0.0,0.0,,,,,,,当前QC指标正常。,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,,,1789637489.0214782,,,recorder,server,,,25143,25143,0,-4.579782485961914,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789637489.0214782,25143,,,,,,,,,,
5f9edf6f-c12e-48c9-baea-61480e0d2912,block_start,1789637507.9570556,119.528,29883,1,1,,1,G05,A,focused,block_start,V3,,0.0,0.0,,,,,,,condition=A; condition_type=focused,2c45acad-6db6-41d5-89db-d3b3e344aa65,sub-005,ses-001,5f9edf6f-c12e-48c9-baea-61480e0d2912,68e07060-2057-490d-865c-e3c07c73e2ab,1789637507.967347,1789637507.9563,323472.799999997,68e07060-2057-490d-865c-e3c07c73e2ab,browser_calibrated,0.0007555484771728516,6.899833679199219,29882,29882,0,-8.038043975830078,host_receive_nearest,verified,0,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,V3,A,0,1789637507.9563,1789637507.96792,29882,,,,,,,,,,
